Task,Start Date,End Date,Responsible
Проект: Депозиты Онлайн MVP,2025-10-06,2026-03-31,
  Фаза 1: Базовая функциональность (10 нед),2025-10-06,2025-12-12,
    Сайт: компонент отображения депозитов,2025-10-06,2025-10-24,Команда сайта
    Сайт: форма заявки на депозит,2025-10-27,2025-11-21,Команда сайта
    ИК: расширение API для заявок,2025-10-13,2025-11-14,Команда ИК
    Бэк-офис: модернизация интеграции,2025-10-13,2025-11-14,Команда бэк-офиса
    АБС: интеграция депозитных продуктов,2025-10-20,2025-11-14,Команда АБС
    БД: модификация схемы данных,2025-10-06,2025-10-24,Команда БД
  Фаза 2: Интеграция с АБС и СМС (6 нед),2025-12-15,2026-01-23,
    ИК: интеграция с СМС-шлюзом,2025-12-15,2026-01-02,Команда ИК
    Бэк-офис: доработка обработки заявок,2025-12-22,2026-01-02,Команда бэк-офиса
    АБС: расширение API для статусов,2025-12-15,2026-01-09,Команда АБС
    Тестирование интеграции,2026-01-06,2026-01-23,QA команда
  Фаза 3: Поддержка кол-центров (4 нед),2026-01-26,2026-02-20,
    Бэк-офис: интерфейсы для кол-центра,2026-01-26,2026-02-06,Команда бэк-офиса
    Бэк-офис: файловый экспорт для партнеров,2026-02-09,2026-02-20,Команда бэк-офиса
    Интеграционное тестирование кол-центров,2026-02-16,2026-02-27,QA команда
  Фаза 4: Тестирование и безопасность (4 нед),2026-03-02,2026-03-31,
    Полное тестирование системы,2026-03-02,2026-03-13,QA команда
    Внедрение HTTPS,2026-03-16,2026-03-20,Команда безопасности
    Настройка мониторинга,2026-03-23,2026-03-27,DevOps команда
    Пентест и исправление уязвимостей,2026-03-23,2026-03-31,Команда безопасности
